original_tweeter_user_id,retweet_count
782018153207431168,4287
435704007,4256
913416571548205057,4245
47957425,4226
19130146,4193
43035019,4179
22956220,4176
3220084809,4108
16740433,4058
2946730163,4052
2713937910,4036
1494835716,3897
941729680381550592,3869
1398479138,3868
1340481373,3860
1026684533364547594,3850
769108935726997504,3846
969444209940889600,3785
1219007111239282688,3772
915231714724712448,3731
11454572,3731
1037648264672079872,3716
806347865073315844,3697
49682880,3672
1199522589573554176,3626
1162682346094522370,3598
718332223,3597
713839291210792960,3559
477174486,3456
1134618385495527425,3447
120649992,3410
123617604,3397
43753976,3397
27995424,3391
1134666552718925824,3382
1073085455468380160,3357
3262969386,3245
1176477972515213312,3235
19329393,3227
234497162,3163
21032566,3129
751552860303683584,3103
528999980,3078
983766825610694656,3077
1697365488,3062
851985789072408576,3055
167778891,3033
729389585445363713,3000
1229160464,2991
115279420,2968
341194704,2937
403647191,2937
146591896,2891
94120026,2883
994988644195856384,2866
260885614,2860
74433034,2814
562255311,2803
764261361044037632,2718
2725865306,2703
1092086942198452224,2678
1096854816423170048,2671
1035848428096344064,2669
2757833205,2659
1583865109,2640
52321035,2640
23317891,2622
24787367,2599
406483952,2597
1040263298590142469,2588
779476491092434944,2559
824322536204865537,2557
127941629,2552
1215417589414821889,2548
2748355923,2520
489958688,2515
802121664,2495
57431771,2474
1150986623758163969,2461
17685258,2444
317385247,2430
553991829,2416
3526395106,2406
775625838385569796,2403
40899671,2399
799111347111751680,2395
29027457,2388
2190330965,2386
922442124,2369
898577623885819904,2352
25073877,2352
131791334,2339
792660210,2282
787473361056239616,2281
986716551935016960,2265
1147250593578278912,2258
2353605901,2238
358545917,2228
2920023271,2213
71869296,2209
187626904,2207
21150492,2206
4870230854,2191
14377605,2188
997538850472898562,2186
46085118,2175
1050459109202518016,2172
719662077934243840,2164
261157191,2158
3499821328,2148
722528529716383744,2141
1167738667009552384,2132
3580248555,2100
808441004764332032,2054
870468896255385601,2050
67611162,2046
2169586586,2040
897210765949648896,2025
786736292809760769,2021
1097111725738991617,2011
4165642155,2008
60937837,1996
367529999,1987
1151261114384171008,1975
18809812,1959
1195728738014679041,1945
1010682068131557376,1945
347586568,1945
57870730,1941
1182816702083600384,1935
14175873,1913
3314383418,1905
195271137,1888
3301847203,1883
1105951888778977281,1870
446228264,1864
282695161,1862
2877839294,1860
321035269,1859
717627639159128064,1846
1006812087870525441,1846
69190453,1832
806168918754660352,1831
887014646703509504,1818
809974521746911232,1801
1088817055602757633,1791
614943183,1783
2413821780,1783
822462665910063105,1781
3995778614,1780
1134691864425033730,1747
22267198,1747
19612969,1738
3168663944,1728
4665676362,1720
6742412,1717
27185670,1715
1134503131797106688,1702
4184152827,1696
799287737388072960,1695
2363057095,1693
921880207870459904,1673
112684779,1667
112047805,1665
830504089561792512,1663
1134783407223975937,1659
270771292,1631
